code,explanation,fix
PLAN_RULE_TYPE,Rule type is unsupported,Choose a rule type offered by the dropdown
PLAN_RULE_VARIABLE,A rule refers to an unknown canonical name,Use a name declared on the columns sheet
PLAN_SECTION_TYPE,A plan section has the wrong structure,Use the official template or schema without changing structure
PLAN_SOURCE_ENCODING,A text source has no encoding,Declare encoding such as UTF-8 or GB18030
PLAN_SOURCE_FORMAT,The source format is unsupported,Choose a format offered by the dropdown
PLAN_SOURCE_OPTIONS,Advanced source options are not valid JSON,Use one JSON object or leave options_json blank
PLAN_SOURCE_REQUIRED,A required source setting is blank,Fill source path and format
PLAN_TEMPLATE_VERSION,The workbook version is not 1.0,Create a fresh template with dcc_template
PLAN_UNKNOWN_FIELD,An unknown field or column was added,Remove it and keep the official template structure
PLAN_UNKNOWN_SECTION,An unknown plan section was added,Remove it and keep the nine official sections
PLAN_VALUES_VARIABLE,A value label refers to an unknown canonical name,Use a name declared on the columns sheet
RULE_BAD_SEVERITY,A compiled rule has invalid severity,Use info warn or fail
RULE_DUP_ID,A compiled rule id is duplicated,Make every rule id unique
RULE_ITEMS_MISSING,An item-based rule has no item list,Add items in the JSON parameters
RULE_NO_ID,A compiled rule has no id,Fill the rule id cell
RULE_RANGE_BOUNDS,A range rule has no minimum or maximum,Add min or max in JSON parameters
RULE_SCOREVAR_MISSING,A score anomaly rule has no score variable,Add score_var in JSON parameters
RULE_SET_VALUES,A set rule has no allowed values,Add values in JSON parameters
RULE_TIMEVAR_MISSING,A response time rule has no time variable,Add time_var in JSON parameters
RULE_TRAPS_MISSING,A trap item rule has no trap map,Add traps in JSON parameters
RULE_UNKNOWN_TYPE,A compiled rule type is unknown,Choose a supported rule type
RULE_VAR_MISSING,A range or set rule has no variable,Fill variable with a canonical column name
